	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_10_0.txt	10	0	3.39628	3.91416	3.54868	3.78805	3.44163	3.98122	3.15468	3.96924	3.74891	3.3331	2.5367	3.42601	4.57948	3.40772	3.94224	3.90466	2.9698	5.05845	3.81026	4.18925	3.95574	3.46839	4.7106	3.12657	3.43109	4.6389	3.6248
alpha_rarefaction_10_1.txt	10	1	2.83557	4.89572	4.91875	3.71428	4.71056	4.74139	3.70865	2.58228	3.28186	4.83555	3.10598	3.62784	3.19681	3.377	3.12283	5.16302	3.8779	4.23064	2.85146	3.19453	3.07912	4.31119	3.15881	3.4059	4.18447	4.82731	2.7078
alpha_rarefaction_10_2.txt	10	2	3.16998	3.52355	3.40752	3.31122	3.36517	4.15751	3.99993	3.02175	3.89212	4.43075	5.04532	3.09042	3.56585	3.62336	2.78513	3.84433	3.89222	3.12075	3.21853	3.35557	5.0758	4.07417	3.1327	3.18504	3.61984	3.70716	3.58083
alpha_rarefaction_10_3.txt	10	3	4.3024	4.15461	3.94106	3.9368	3.41318	4.62249	3.83463	3.69187	2.96403	3.6301	3.44119	3.51934	4.58529	3.27407	3.54818	3.0541	2.93716	3.95495	4.25027	3.7791	3.91252	4.20586	3.26632	4.33112	2.84827	2.99833	4.36518
alpha_rarefaction_10_4.txt	10	4	2.99301	2.92572	5.10611	3.07151	5.45281	3.21306	2.81854	3.57114	3.49067	3.53204	5.45098	4.85255	3.76467	3.83709	4.42031	3.1801	3.93506	3.12098	4.47563	3.68075	2.68956	3.77862	3.969	3.07369	2.69905	3.34769	3.87061
alpha_rarefaction_10_5.txt	10	5	4.17462	4.08142	3.66814	4.00222	3.22641	4.06974	4.08252	4.46796	3.72218	3.05101	3.62887	3.0344	4.65345	3.40202	3.77689	3.98324	3.98619	4.93593	3.21619	3.35615	4.33275	4.04008	3.53197	4.43638	3.50019	3.08783	4.35231
alpha_rarefaction_10_6.txt	10	6	4.39247	4.03129	3.66207	3.01973	2.52599	3.23844	4.51149	3.89917	4.25479	3.9413	4.22188	4.08401	3.89957	4.42796	3.7384	2.96722	2.99113	4.71946	4.4913	4.66106	5.45002	4.40505	3.58878	3.08069	2.62589	3.39409	3.57737
alpha_rarefaction_10_7.txt	10	7	2.78411	3.41015	2.86487	4.34497	3.93658	3.4432	4.30308	3.28608	3.85095	3.62913	4.31554	4.40572	2.965	3.46255	4.37951	3.83366	3.89226	3.7597	3.10418	4.25106	3.82282	6.11812	3.92004	2.72216	4.00076	3.56386	3.35323
alpha_rarefaction_10_8.txt	10	8	4.05047	4.16945	4.01322	4.63435	3.66247	3.51349	2.96974	4.22574	3.44231	3.72674	4.59055	4.08688	3.85611	3.89884	2.92431	4.0659	4.35611	4.43808	3.43201	3.98141	4.26291	5.66042	3.17414	2.49401	2.23068	3.53534	3.32369
alpha_rarefaction_10_9.txt	10	9	2.91577	4.62661	3.89249	3.4982	2.77236	3.83167	3.69589	3.48566	3.84474	4.44871	3.32313	2.73297	3.52928	3.92467	3.29556	4.71167	3.45305	5.12289	3.44978	4.61865	4.61739	3.48282	3.0706	3.0936	3.6157	4.18567	4.1052
alpha_rarefaction_3959_0.txt	3959	0	119.28775	126.27884	119.77316	118.35236	116.64525	121.15612	114.82502	123.45291	128.17681	125.28458	126.05104	110.69182	117.12891	122.96899	119.08878	124.52623	120.36533	123.74142	115.29388	130.38115	122.34606	129.48016	114.39665	119.07415	109.52884	98.60453	112.44778
alpha_rarefaction_3959_1.txt	3959	1	121.95516	124.91986	119.94449	120.53633	113.40279	120.80219	117.10138	122.13197	129.34486	121.96175	124.53222	112.59637	120.96342	123.36063	120.79147	120.96711	124.31154	124.72128	118.11052	129.65301	128.64736	124.63804	114.41075	117.26259	111.99352	99.33902	114.53104
alpha_rarefaction_3959_2.txt	3959	2	115.92961	122.67745	118.55946	118.30231	116.30617	116.05315	121.95357	125.12796	125.12955	123.59505	126.88541	117.04623	123.00857	119.39227	118.48401	121.38871	124.18386	123.80871	122.10643	128.9383	125.96725	123.07932	113.30645	117.99236	109.55537	101.43721	113.61403
alpha_rarefaction_3959_3.txt	3959	3	120.92172	123.99467	117.93064	119.1595	115.53977	121.04986	115.15692	122.80341	128.51757	122.07465	124.51471	116.01368	116.01239	118.54829	119.30066	122.2838	122.41503	123.9151	116.759	130.61223	123.6231	127.18734	115.38184	119.03675	111.71527	101.32839	111.03933
alpha_rarefaction_3959_4.txt	3959	4	114.23494	119.16858	117.6127	118.6561	113.07271	122.1073	121.67167	119.92196	124.91518	126.92516	126.83456	111.15847	121.10678	121.50896	119.4721	118.58562	127.63184	122.4273	120.52004	131.46884	124.73724	123.94532	114.22398	118.72108	108.89241	101.11435	108.50979
alpha_rarefaction_3959_5.txt	3959	5	121.89648	126.47212	119.70677	121.70756	112.70264	120.93615	120.50656	120.25013	124.76957	126.49655	125.57259	116.73775	116.7253	125.58214	120.73801	118.48813	120.11365	122.28547	116.20582	126.6658	123.18236	126.90878	113.51555	121.01648	109.72966	101.59017	107.97859
alpha_rarefaction_3959_6.txt	3959	6	122.8066	127.25642	119.50619	123.17806	115.64846	122.21451	117.54025	119.65209	123.67519	124.41285	125.4056	112.08332	117.02384	122.08764	119.81561	122.13064	123.24928	121.61706	118.40968	129.23896	127.3508	126.81939	114.89364	115.48605	116.14046	100.02842	111.98327
alpha_rarefaction_3959_7.txt	3959	7	119.22913	122.23381	114.85941	121.75267	113.13371	121.10804	118.29313	125.71452	127.01536	125.74447	130.02205	111.21626	123.37186	123.7902	122.65076	122.51859	124.35975	123.19464	119.77768	125.09643	122.57568	126.90935	112.75934	115.49591	107.99647	98.52278	112.97352
alpha_rarefaction_3959_8.txt	3959	8	120.60244	122.49564	120.51988	116.12668	116.2484	119.61401	118.33723	121.35017	122.68493	124.30633	122.82607	109.78952	119.32448	122.3294	119.59244	118.54908	128.96035	124.45286	122.0473	130.70672	126.89955	125.1181	112.08395	116.76085	111.84461	103.13363	112.87097
