	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_2.txt	10	2	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	23.0	55.0	22.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	13.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_4.txt	10	4	55.0	23.0	23.0	23.0	55.0	55.0	13.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0
alpha_rarefaction_10_5.txt	10	5	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	23.0	23.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	12.0	23.0	55.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0
alpha_rarefaction_3959_0.txt	3959	0	2386.71641791	3019.61751152	2592.46634615	2704.0	2784.84722222	2710.17948718	2500.4	2945.45263158	3173.02777778	2774.79148936	2629.64197531	2246.12149533	2674.69162996	2852.78199052	2206.8125	2604.01315789	2402.18454936	2704.39461883	2545.72173913	3008.875	3007.38839286	2740.50442478	2343.56164384	2747.54506438	2333.32160804	2018.59195402	2611.68527919
alpha_rarefaction_3959_1.txt	3959	1	2500.67942584	2867.35483871	2665.0631068	2521.12444444	2293.06563707	2730.14018692	2727.03243243	2535.21551724	3034.72727273	2896.06422018	2497.24100719	2529.02083333	2757.20444444	2821.40789474	2273.29752066	2574.1682243	2854.03448276	2486.04273504	2690.59090909	3238.30434783	3337.56190476	2720.48430493	2477.0412844	2714.89873418	2653.57065217	2168.56886228	2177.66216216
alpha_rarefaction_3959_2.txt	3959	2	2355.46907216	2751.38028169	2661.69565217	2701.02702703	2800.59534884	2894.47593583	2710.93939394	2824.36231884	2946.75784753	2850.86666667	2827.37662338	2463.10194175	2820.0083682	2377.50423729	2549.93596059	2872.05102041	2951.04950495	2877.54545455	2620.15267176	3296.91701245	3057.39647577	2613.56053812	2434.35960591	2834.52830189	2412.78947368	2284.80722892	2869.27906977
alpha_rarefaction_3959_3.txt	3959	3	2609.69430052	2846.97727273	2672.58333333	2636.91162791	2714.3974359	2856.5	2407.97222222	2509.47727273	3014.80349345	2687.16194332	2714.11764706	2631.0	2558.64705882	2610.28767123	2541.96135266	2712.39461883	2702.95378151	2686.52112676	2726.95378151	3027.50583658	2917.46976744	2693.46976744	2609.33009709	2938.10526316	2301.26339286	2303.09433962	2408.57788945
