# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
Unassigned;Other;Other;Other;Other	0.0055283997524	0.00230268600739	0.00216853305408	0.00234982838852	0.00442544254425	0.00356591855151	0.00359832078363	0.00261641763206	0.00333630820815	0.00315932351473	0.00382675033838	0.00594771917899	0.00399280848349	0.00290384238385	0.00262338644761	0.00402558420063	0.00474711397048	0.0028203477141	0.00337136723254	0.0026138060913	0.00204398773607	0.00316832069255	0.00290952674593	0.00335324616772	0.00314840624467	0.00407553665452	0.00294079300004
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	6.40355183675e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.59051250699e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01321289309e-05	0.0	0.0	0.0	0.0	0.0	9.74867905399e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	0.00542167388845	0.0	0.0	0.0	1.500150015e-05	0.0	0.0	0.00094812757756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31189160378e-05	0.0	0.0	0.0	2.16464272572e-05	0.000776995338028	0.0	1.73703089309e-05	0.0	0.0	2.53138922641e-05	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.00604068389934	0.0454056588164	0.014038658177	0.0102966889623	0.0197119711971	0.0251288097109	0.0229309655494	0.0260035645452	0.0323371673075	0.0291125811283	0.017189614864	0.0120062654234	0.0144544128341	0.0294917663203	0.0529477941248	0.00463573372233	0.0595319890748	0.0169349645847	0.0408619250189	0.0277453081369	0.00718895686626	0.00630739534793	0.0161457021513	0.0371393146979	0.0288369947761	0.00455650060753	0.0193831578032
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	2.75770779328e-05	4.93971082933e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23046634675e-05	0.0	0.0	2.45049990198e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae	0.0	4.13656168992e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__	0.0	2.75770779328e-05	1.4819132488e-05	0.0	0.0	0.0	0.0	0.0	6.6726164163e-05	4.68047928108e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000238491371723	0.0	0.0	1.08232136286e-05	0.0	0.0	0.0	0.0	0.000100267714799	0.0	2.89733300497e-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	0.0	0.0	6.91559516106e-05	0.0	0.0	0.0	0.0	5.18102501399e-06	0.0	1.56015976036e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000102210587881	0.0	0.0	0.000124466956729	0.0	0.0	0.0	5.63570784491e-05	0.0	0.0	1.44866650248e-05
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles];f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70350979802e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.15233173373e-06	1.47769420596e-05	1.78449541162e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74867905399e-06	8.68515446547e-06	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__	8.53806911567e-05	2.75770779328e-05	0.0	9.25129286818e-05	1.500150015e-05	7.277384799e-05	2.49883387752e-05	4.66292251259e-05	0.0	7.8007988018e-05	1.23046634675e-05	6.64962392682e-05	4.01511467614e-05	3.67574985297e-05	0.000140625151536	2.10396386793e-05	5.6783659934e-05	0.0	3.18053512503e-05	4.32928545144e-05	6.29996220023e-05	5.84920743239e-05	4.34257723274e-05	9.86248872858e-05	0.0	0.0	0.000492546610845
k__Bacteria;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99995800025e-06	0.0	0.0	0.0	2.00535429597e-05	0.0	0.0
k__Bacteria;p__;c__;o__;f__	0.000128071036735	0.000206828084496	0.000187709011514	0.000222031028836	0.000870087008701	0.000414810933543	0.000174918371427	6.73533251819e-05	0.000100089246245	0.000210621567649	0.000239940937615	0.000199488717805	0.000432740137317	7.35149970594e-05	0.000276401159915	7.01321289309e-05	0.000295275031657	0.000244687701223	0.000469128930943	0.000194817845315	4.89997060018e-05	2.9246037162e-05	0.000182388243775	0.000267696122633	0.000150401572198	2.53138922641e-05	0.000202813310348
