	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_10_0.txt	10	0	3.71542	3.59552	3.41923	2.24882	3.52514	3.34476	3.31043	3.41036	3.35035	2.49414	3.20377	3.50868	3.0861	2.75748	2.87902	3.01054	2.80957	2.85875	3.4411	2.47511	3.02863	3.16637	3.47067	3.23479	3.05947	2.8204	2.52861
alpha_rarefaction_10_1.txt	10	1	2.22153	3.05906	3.04405	3.47433	2.60607	2.54404	3.22524	2.72658	3.4666	2.393	3.00094	2.80423	1.90583	2.21949	2.64973	2.81545	2.81984	3.10812	2.89382	2.94605	3.71675	2.92621	2.72866	2.11758	3.11924	2.73433	2.81021
alpha_rarefaction_10_2.txt	10	2	3.71855	3.56232	3.02211	3.03179	2.91456	2.77605	3.32116	2.95556	3.14737	3.35062	2.91605	2.76414	3.52206	3.32426	3.38353	3.25236	3.28488	3.49733	3.23779	2.85566	2.59466	3.47125	2.52399	2.66666	1.79505	2.99611	3.04295
alpha_rarefaction_10_3.txt	10	3	2.83511	2.60575	3.50494	2.31875	3.12054	2.31207	3.05306	3.04966	3.05541	2.34072	2.71245	2.85135	2.71731	3.02193	2.74162	2.80056	3.33303	2.52327	2.96905	3.30855	2.93748	3.4989	3.43369	3.21811	2.42396	2.66564	3.54002
alpha_rarefaction_10_4.txt	10	4	4.24637	2.47201	3.21313	2.43424	2.95346	2.18019	2.43862	2.64784	3.05257	3.96397	3.47568	3.94341	3.16519	3.06969	3.07841	2.52843	2.88697	2.93285	4.36013	3.22589	2.9564	2.33435	2.96213	2.70838	3.29817	3.10611	2.80549
alpha_rarefaction_10_5.txt	10	5	3.31264	3.01472	2.81617	3.17313	3.48199	3.28973	2.69615	2.11799	2.73195	3.07283	3.5621	3.01006	2.90257	2.73667	3.2405	3.84474	2.54961	3.18916	3.12099	2.45651	3.23806	3.0892	3.301	3.81644	3.0788	2.388	2.90982
alpha_rarefaction_10_6.txt	10	6	2.94866	2.9508	2.75567	1.90711	2.85214	2.20661	2.97267	3.62084	2.82384	3.192	3.33316	2.80496	2.32195	3.45374	2.46352	2.66757	2.42884	4.16331	3.45139	2.32666	2.63158	3.69788	2.67293	2.43078	2.36008	2.77514	3.39165
alpha_rarefaction_10_7.txt	10	7	3.29861	2.72939	2.62149	3.01911	3.41741	3.15143	2.76762	3.11527	3.35828	2.23007	2.93037	3.48947	3.4769	3.43831	3.12933	3.00397	3.21146	3.29667	2.83023	2.97376	2.80874	2.69452	2.77914	2.75974	2.8239	3.34321	3.81447
alpha_rarefaction_10_8.txt	10	8	2.69269	2.65644	2.83716	2.34648	3.18797	3.01364	3.14844	3.00194	2.56162	3.3803	3.33591	2.84756	3.63343	3.00893	3.41958	3.3101	3.39016	3.08125	3.56852	3.0211	3.00339	3.30902	3.31857	3.24767	3.13598	3.19394	3.38857
alpha_rarefaction_10_9.txt	10	9	2.36278	2.88087	2.67869	2.78919	3.19137	2.68915	3.28508	2.96014	2.28292	2.95346	2.84008	3.03516	2.96299	3.82837	3.70476	3.11091	3.16614	2.49535	2.38902	2.57106	2.55393	2.5935	3.4741	2.95811	3.15458	3.08825	2.55825
alpha_rarefaction_10399_0.txt	10399	0	88.67188	92.5901	90.31418	91.89446	93.84125	89.37367	84.37791	88.19413	95.90795	95.97914	94.91294	92.62515	94.02487	91.5202	88.94036	95.70009	94.54214	97.89603	95.39127	92.98172	97.85799	96.10727	89.70835	96.43388	83.69719	82.91219	86.28108
alpha_rarefaction_10399_1.txt	10399	1	88.25241	93.30991	88.91947	90.61097	90.7668	89.63877	85.04841	88.55357	99.10204	97.14784	95.5806	89.44906	93.21853	90.63167	87.11362	94.42405	92.50449	101.17603	94.73546	91.43273	100.04249	94.18663	90.27375	97.20393	85.36772	82.38766	84.80948
alpha_rarefaction_10399_2.txt	10399	2	88.99951	94.80275	92.25648	90.83365	93.67781	88.18483	87.37927	90.19893	97.16469	96.49326	92.77333	92.27466	96.75501	91.94148	87.51138	93.05418	92.80024	100.87	97.12883	89.05322	100.46646	95.33458	91.34999	94.58611	84.24789	84.48337	82.79778
alpha_rarefaction_10399_3.txt	10399	3	86.84702	95.9998	92.27698	88.83731	91.77557	85.73173	87.26984	88.27498	100.28571	94.89624	95.32201	90.95602	95.82352	92.05	85.24375	93.95987	95.86931	97.82805	95.37972	90.32425	100.09145	90.82776	89.9754	93.67746	83.01046	84.22353	88.03068
alpha_rarefaction_10399_4.txt	10399	4	87.05424	96.23879	91.33046	92.21285	92.90819	87.60766	84.16419	89.57992	97.52717	92.42523	95.17423	91.60141	95.9999	91.8519	86.64738	94.65854	94.73451	100.18729	96.92003	90.95819	98.46248	93.91776	88.45193	95.88386	84.19624	83.4597	84.90759
